customer_id,application_date,age,income,employment_years,loan_amount,loan_duration_months,existing_debt,debt_to_income,credit_history_months,number_of_previous_loans,missed_payments_12m,region,channel,collection_status_after_90d,default_90d
109380,2023-01-04,55,41842.0,5.2,8182.0,48,4669.0,0.1279,94.0,1,1,Ouest,mobile,a_jour,0
107705,2023-09-25,36,35559.0,6.8,6692.0,60,9830.0,0.2921,173.0,1,0,Ouest,agence,a_jour,0
114477,2023-12-18,43,30373.0,5.3,16032.0,60,8567.0,0.326,174.0,3,0,Centre,agence,a_jour,0
107906,2024-07-02,41,49997.0,,10583.0,18,7663.0,0.1709,225.0,1,1,Sud,mobile,a_jour,0
119356,2023-12-03,38,55478.0,6.3,10694.0,36,6648.0,0.1359,147.0,1,0,Sud,courtier,a_jour,0
117837,2024-09-25,43,34345.0,7.1,5131.0,12,1194.0,0.0472,247.0,1,0,Nord,agence,a_jour,0
112378,2024-07-24,54,59380.0,1.6,34649.0,48,9827.0,0.2141,156.0,1,0,Est,agence,recouvrement_amiable,1
114868,2024-10-04,30,31821.0,1.5,12052.0,24,11419.0,0.3904,76.0,3,0,Est,web,a_jour,0
110466,2023-08-28,31,,4.0,23369.0,36,4516.0,0.2035,94.0,3,0,Centre,web,a_jour,0
118065,2023-10-18,33,83000.0,3.2,32392.0,72,23698.0,0.318,62.0,1,1,Sud,mobile,a_jour,0
103134,2024-06-02,20,,2.0,12898.0,72,35805.0,0.6092,12.0,0,0,Centre,mobile,a_jour,0
107982,2024-02-01,52,50727.0,4.5,3663.0,60,1872.0,0.0429,196.0,1,0,Est,courtier,a_jour,0
118987,2024-03-06,29,19362.0,11.0,14814.0,24,5132.0,0.3288,85.0,1,0,Ouest,mobile,a_jour,0
103188,2023-02-13,37,80501.0,2.7,19104.0,36,9876.0,0.1425,158.0,1,0,Nord,web,a_jour,0
103420,2024-01-13,49,80893.0,5.3,38739.0,72,3585.0,0.0842,155.0,1,1,Centre,courtier,a_jour,0
101899,2023-09-05,51,34450.0,8.0,12820.0,12,14255.0,0.4448,190.0,3,1,Nord,web,a_jour,0
109617,2023-11-15,39,63580.0,3.7,16207.0,12,16051.0,0.2737,219.0,1,0,Centre,web,a_jour,0
111370,2024-08-30,43,22893.0,6.8,14432.0,48,673.0,0.0819,160.0,1,0,Ouest,agence,recouvrement_contentieux,1
105190,2024-06-19,33,122098.0,1.6,13238.0,24,11487.0,0.1031,103.0,0,1,Sud,agence,a_jour,0
102537,2023-12-31,26,50411.0,7.6,13501.0,36,12051.0,0.2614,35.0,0,0,Ouest,mobile,a_jour,0
111217,2023-11-10,41,50814.0,,10759.0,12,5962.0,0.135,233.0,3,0,Sud,mobile,a_jour,0
106356,2024-05-24,49,31050.0,9.7,14402.0,24,5604.0,0.2191,122.0,4,0,Centre,web,a_jour,0
100928,2023-11-02,40,42749.0,3.4,5100.0,36,31602.0,0.7492,249.0,3,2,Centre,mobile,a_jour,0
116829,2023-03-06,22,53281.0,3.5,26980.0,24,11300.0,0.2543,33.0,0,1,Centre,web,a_jour,0
117459,2023-09-23,46,120112.0,6.9,23756.0,60,24435.0,0.2199,318.0,5,1,Est,agence,a_jour,0
101002,2024-02-12,47,45092.0,11.2,25081.0,6,17407.0,0.4324,164.0,3,0,Sud,mobile,a_jour,0
115587,2023-10-29,60,51976.0,5.3,26535.0,12,10386.0,0.2424,306.0,4,0,Nord,web,recouvrement_contentieux,1
109167,2024-12-17,49,36902.0,11.6,18764.0,48,8637.0,0.2764,339.0,6,0,Sud,web,a_jour,0
100538,2024-01-30,34,48970.0,0.7,6683.0,60,10538.0,0.2266,83.0,1,0,Ouest,mobile,a_jour,0
101805,2023-02-02,36,31060.0,1.8,10834.0,36,7530.0,0.2715,178.0,3,0,Est,web,a_jour,0
107250,2023-09-07,39,57891.0,4.7,9902.0,60,4170.0,0.0863,202.0,2,1,Nord,web,a_jour,0
105637,2023-11-14,27,61367.0,5.2,29096.0,24,33865.0,0.5914,68.0,0,2,Ouest,web,a_jour,0
114161,2024-08-13,56,30786.0,1.4,4200.0,36,8763.0,0.296,323.0,2,1,Est,agence,a_jour,0
117443,2023-12-26,42,22921.0,5.9,12412.0,60,3129.0,0.1816,106.0,1,0,Est,courtier,a_jour,0
116732,2024-09-24,47,74133.0,9.8,17115.0,36,17233.0,0.2517,124.0,1,0,Centre,web,a_jour,0
109629,2023-11-09,24,44799.0,6.0,14802.0,12,20968.0,0.4956,26.0,0,0,Sud,courtier,a_jour,0
112630,2023-01-08,51,28844.0,0.7,6298.0,36,17356.0,0.6199,,4,0,Nord,agence,a_jour,0
113722,2024-08-29,49,103649.0,3.3,17871.0,24,26505.0,0.2701,318.0,5,0,Est,web,a_jour,0
106514,2024-08-14,28,52461.0,8.8,3187.0,12,8039.0,0.1583,,1,1,Sud,web,a_jour,0
116571,2023-05-03,32,103383.0,2.0,10970.0,60,4836.0,0.0556,53.0,1,0,Ouest,web,recouvrement_amiable,0
112031,2023-02-12,39,44464.0,4.4,6496.0,72,6273.0,0.1533,136.0,2,3,Nord,agence,a_jour,0
115754,2023-02-05,44,50868.0,7.5,28580.0,60,16457.0,0.3703,211.0,3,0,Sud,courtier,a_jour,0
100995,2024-04-01,45,35955.0,10.5,14519.0,18,7814.0,0.251,82.0,1,1,Ouest,web,a_jour,0
118496,2023-10-18,39,36471.0,8.8,21609.0,6,5474.0,0.1995,216.0,3,1,Centre,web,a_jour,0
112878,2023-06-28,48,36842.0,6.8,17163.0,24,24823.0,0.7126,99.0,2,2,Sud,mobile,a_jour,0
102241,2024-05-28,39,69378.0,5.5,16969.0,18,44986.0,0.6735,58.0,1,0,Ouest,courtier,a_jour,0
101079,2024-09-02,41,37057.0,2.1,8398.0,18,5631.0,0.1708,261.0,4,0,Ouest,mobile,a_jour,0
104164,2024-06-05,46,,28.0,16426.0,60,2609.0,0.1808,171.0,2,3,Est,web,a_jour,0
102787,2023-02-13,35,34430.0,6.3,13108.0,48,30780.0,0.9257,193.0,1,1,Sud,web,recouvrement_contentieux,1
113419,2023-04-25,41,27697.0,13.4,13569.0,36,8763.0,0.3572,261.0,2,1,Sud,agence,a_jour,0
107003,2024-02-21,54,53187.0,3.0,6724.0,24,23754.0,0.4571,99.0,0,1,Ouest,mobile,a_jour,0
110457,2023-05-21,21,23856.0,3.0,16832.0,36,2080.0,0.146,24.0,1,1,Nord,mobile,a_jour,0
103847,2023-09-20,25,36369.0,6.2,13616.0,24,8105.0,0.2541,61.0,1,1,Ouest,mobile,a_jour,0
118261,2023-03-10,36,107741.0,6.5,32369.0,24,31873.0,0.3209,79.0,1,0,Ouest,agence,a_jour,0
104258,2024-03-17,47,32864.0,3.5,23749.0,48,2699.0,0.1423,211.0,4,0,Sud,agence,a_jour,0
102193,2023-06-09,53,25741.0,17.4,5369.0,18,4753.0,0.202,219.0,2,1,Centre,courtier,a_jour,0
116502,2023-04-05,45,49095.0,8.9,11972.0,36,3536.0,0.0923,90.0,0,0,Est,web,a_jour,0
110045,2024-10-03,49,16002.0,3.3,15858.0,36,3446.0,0.2979,149.0,3,1,Est,agence,a_jour,0
109259,2023-07-13,56,31617.0,4.7,10946.0,6,5689.0,0.2088,179.0,2,0,Ouest,web,a_jour,0
116195,2024-01-22,58,28330.0,4.2,14420.0,12,4814.0,0.2123,279.0,5,0,Sud,agence,a_jour,0
115097,2023-03-24,36,52834.0,3.0,10192.0,24,27742.0,0.5412,70.0,1,0,Nord,agence,a_jour,0
113924,2024-07-23,50,21613.0,10.8,34221.0,48,12092.0,0.6914,94.0,0,1,Centre,agence,a_jour,0
110344,2024-05-31,27,87672.0,6.2,5003.0,36,28046.0,0.3247,44.0,3,0,Ouest,web,a_jour,0
118942,2024-12-21,37,66574.0,4.9,12774.0,36,21427.0,0.3378,97.0,0,0,Ouest,mobile,a_jour,0
114098,2023-12-21,38,40699.0,4.9,12035.0,24,11170.0,0.2991,122.0,1,0,Nord,mobile,a_jour,0
119107,2023-03-17,45,46993.0,3.2,29142.0,36,7078.0,0.2023,258.0,5,0,Sud,mobile,recouvrement_amiable,1
105333,2024-10-15,47,84067.0,8.0,17822.0,18,1933.0,0.0407,78.0,3,0,Sud,web,a_jour,0
109912,2023-11-12,43,56057.0,1.3,21388.0,24,7089.0,0.1583,235.0,3,1,Est,web,a_jour,0
107687,2024-03-19,34,32866.0,,8343.0,12,8806.0,0.2891,40.0,2,1,Sud,web,a_jour,0
108672,2023-07-08,30,28873.0,9.1,9606.0,48,3107.0,0.1353,59.0,0,0,Centre,courtier,a_jour,0
119636,2024-03-11,39,40492.0,1.6,13022.0,36,3720.0,0.1187,188.0,6,0,Est,agence,a_jour,0
101647,2024-04-29,18,51581.0,1.0,43749.0,36,4400.0,0.156,0.0,0,0,Sud,agence,a_jour,0
104035,2023-01-24,47,33576.0,12.2,13221.0,36,9447.0,0.3142,102.0,1,0,Est,agence,a_jour,0
117256,2023-07-06,34,30750.0,8.8,7470.0,6,2878.0,0.1138,173.0,2,0,Centre,agence,a_jour,0
105137,2024-04-23,58,39268.0,2.9,5115.0,36,9993.0,0.2653,167.0,2,0,Nord,web,a_jour,0
104986,2024-12-06,25,13027.0,7.0,5086.0,48,8491.0,0.6843,36.0,0,0,Nord,web,a_jour,0
106158,2024-07-18,43,27735.0,5.3,10824.0,24,13916.0,0.5343,247.0,3,2,Centre,courtier,a_jour,0
101475,2023-08-09,34,53810.0,2.7,11641.0,36,18453.0,0.361,70.0,1,0,Ouest,courtier,a_jour,0
110576,2024-09-17,34,44742.0,0.6,12210.0,60,14562.0,0.3482,170.0,2,0,Ouest,agence,a_jour,0
101519,2023-12-03,55,38115.0,5.0,9078.0,36,27176.0,0.7328,163.0,1,2,Nord,mobile,recouvrement_contentieux,1
105798,2024-02-15,27,42226.0,2.5,9206.0,48,6149.0,0.1638,81.0,0,0,Nord,agence,a_jour,0
106599,2023-01-20,43,40079.0,7.1,58436.0,36,3051.0,0.1976,160.0,4,0,Ouest,web,a_jour,0
116466,2023-08-11,34,55923.0,11.1,12090.0,48,34437.0,0.6338,67.0,0,1,Sud,courtier,a_jour,0
102982,2024-08-07,47,18875.0,2.7,13225.0,24,3169.0,0.2263,159.0,4,2,Centre,agence,a_jour,0
108841,2023-08-11,31,29030.0,2.1,9043.0,48,6243.0,0.241,106.0,3,2,Sud,agence,a_jour,0
116318,2023-07-11,42,49965.0,5.0,36207.0,60,23601.0,0.5327,107.0,1,0,Est,web,a_jour,0
111792,2023-08-06,29,50983.0,6.2,5683.0,60,13885.0,0.2816,67.0,0,0,Sud,mobile,a_jour,0
103614,2024-07-02,31,12322.0,2.0,16105.0,60,4792.0,0.4978,94.0,1,1,Nord,mobile,recouvrement_contentieux,1
104291,2024-11-09,40,37770.0,7.1,11531.0,24,11026.0,0.3174,236.0,3,0,Centre,mobile,a_jour,0
107756,2025-02-01,45,52549.0,4.1,21211.0,12,29813.0,0.601,101.0,2,1,Sud,web,a_jour,0
100892,2024-01-17,25,39467.0,,21179.0,24,6272.0,0.2036,52.0,0,0,Ouest,web,a_jour,0
104018,2023-05-17,42,51312.0,1.3,77978.0,36,3706.0,0.1989,205.0,2,0,Ouest,web,a_jour,0
116659,2023-12-14,43,38972.0,2.9,22410.0,6,4861.0,0.1726,278.0,5,0,Nord,web,a_jour,0
109308,2024-04-29,44,46296.0,4.2,7536.0,24,9294.0,0.2143,136.0,2,0,Nord,mobile,recouvrement_contentieux,0
112415,2023-07-31,42,54496.0,5.5,5051.0,36,32706.0,0.6079,130.0,0,0,Sud,web,a_jour,0
106535,2024-07-11,18,,1.0,15636.0,12,4064.0,0.2234,0.0,0,1,Est,web,a_jour,0
103838,2024-12-01,50,64134.0,5.8,13485.0,48,16561.0,0.2757,118.0,2,1,Sud,web,a_jour,0
105809,2023-10-04,57,48684.0,8.0,12638.0,18,4567.0,0.1154,207.0,2,0,Nord,agence,a_jour,0
108695,2024-10-02,49,56059.0,10.7,8969.0,24,9702.0,0.1864,242.0,3,0,Est,web,a_jour,0
112791,2024-07-08,42,61969.0,0.9,11737.0,48,17892.0,0.3045,241.0,2,0,Nord,agence,a_jour,0
107811,2024-05-03,42,70235.0,2.6,19167.0,24,16338.0,0.2554,158.0,0,0,Centre,web,recouvrement_amiable,1
104953,2023-04-15,48,58729.0,4.9,12369.0,60,11685.0,0.2165,284.0,4,1,Sud,web,a_jour,0
114520,2024-07-05,40,26460.0,,5277.0,24,10233.0,0.4034,189.0,1,0,Ouest,courtier,a_jour,0
117234,2023-10-08,47,44789.0,5.5,11663.0,48,12085.0,0.2915,187.0,3,0,Est,web,a_jour,0
109782,2024-12-24,31,44486.0,4.6,23615.0,60,9691.0,0.2621,87.0,0,0,Nord,agence,a_jour,0
116261,2024-04-19,18,36778.0,1.0,17534.0,12,14388.0,0.4309,0.0,0,0,Sud,web,a_jour,0
116753,2024-08-31,31,17696.0,6.0,2297.0,12,1083.0,0.0745,66.0,1,1,Sud,web,a_jour,0
102750,2023-06-28,47,21392.0,12.3,10738.0,36,3470.0,0.204,105.0,2,1,Est,mobile,a_jour,0
106020,2023-07-08,45,72449.0,9.1,31480.0,48,16631.0,0.2658,294.0,1,1,Sud,courtier,a_jour,0
110128,2023-06-03,41,55718.0,6.8,18493.0,36,21307.0,0.4101,150.0,1,1,Sud,mobile,a_jour,0
109267,2023-07-18,63,22446.0,7.6,39236.0,12,3447.0,0.2992,115.0,1,0,Centre,agence,a_jour,0
109453,2024-08-10,41,21328.0,2.8,13491.0,24,2625.0,0.1758,250.0,4,1,Ouest,agence,a_jour,0
119233,2023-01-08,37,37822.0,1.6,8610.0,72,4277.0,0.1321,170.0,4,1,Ouest,agence,a_jour,0
105106,2024-07-07,32,58579.0,2.4,5372.0,12,5450.0,0.1007,49.0,0,1,Centre,courtier,a_jour,0
114129,2023-10-03,32,26687.0,1.1,18406.0,24,4341.0,0.2201,143.0,2,1,Sud,courtier,a_jour,0
102201,2023-01-06,42,34676.0,15.7,11875.0,48,4767.0,0.166,205.0,2,0,Est,courtier,a_jour,0
112393,2024-07-29,18,35095.0,1.0,29978.0,12,13435.0,0.454,0.0,1,0,Ouest,web,a_jour,0
113799,2024-11-22,47,30239.0,9.6,18212.0,18,12588.0,0.4665,111.0,1,3,Sud,agence,a_jour,0
102115,2023-05-28,53,34001.0,2.9,16459.0,12,5759.0,0.2097,346.0,5,0,Nord,mobile,a_jour,0
111395,2024-10-19,54,34147.0,4.0,41809.0,60,4451.0,0.2324,193.0,4,0,Est,web,a_jour,0
110946,2024-07-28,48,73886.0,4.0,15761.0,72,12464.0,0.1865,301.0,4,0,Est,web,a_jour,0
119677,2024-09-12,53,54884.0,20.1,13460.0,36,11268.0,0.2257,243.0,3,0,Est,mobile,a_jour,0
113290,2023-03-10,38,132415.0,3.9,43721.0,24,17696.0,0.1612,161.0,2,0,Est,web,a_jour,0
119038,2024-11-02,35,63589.0,4.5,5510.0,12,40998.0,0.652,131.0,1,0,Nord,web,a_jour,0
111261,2023-11-04,19,54782.0,1.0,15496.0,48,3176.0,0.0815,4.0,1,0,Ouest,mobile,a_jour,0
115967,2024-12-11,31,73518.0,3.6,7247.0,48,24197.0,0.3373,98.0,2,3,Nord,mobile,a_jour,0
105428,2023-01-22,43,21464.0,9.0,19239.0,48,2221.0,0.1782,244.0,3,0,Centre,agence,a_jour,0
102875,2024-01-12,32,56232.0,5.5,24391.0,36,7290.0,0.1658,69.0,1,0,Ouest,web,a_jour,0
104794,2023-10-17,35,51778.0,14.2,7547.0,12,3883.0,0.0871,123.0,2,0,Centre,mobile,a_jour,0
119923,2023-11-25,51,46648.0,,15201.0,60,6317.0,0.1626,145.0,2,2,Ouest,mobile,a_jour,0
103862,2023-06-30,52,39825.0,18.6,17406.0,36,22699.0,0.6064,171.0,1,0,Est,courtier,a_jour,0
116866,2023-11-23,61,107855.0,5.6,20047.0,72,14748.0,0.1522,144.0,3,0,Est,courtier,a_jour,0
101195,2024-04-07,56,31678.0,2.5,11740.0,36,8190.0,0.2894,224.0,1,0,Sud,web,a_jour,0
109216,2024-06-08,32,41086.0,2.3,18170.0,60,11331.0,0.3126,91.0,0,0,Sud,mobile,a_jour,0
105946,2023-07-10,44,86594.0,7.4,13925.0,12,34912.0,0.4166,239.0,4,0,Est,mobile,a_jour,0
112467,2023-06-14,38,44840.0,6.6,10197.0,24,11337.0,0.2718,217.0,5,0,Ouest,courtier,a_jour,0
107231,2024-05-22,44,46704.0,4.1,12334.0,36,1834.0,0.0613,140.0,0,0,Sud,agence,a_jour,0
109823,2023-12-06,18,102128.0,,23239.0,24,19367.0,0.2086,0.0,0,0,Centre,courtier,a_jour,0
118793,2024-02-17,47,30711.0,6.5,19885.0,24,1574.0,0.1052,276.0,3,0,Est,agence,a_jour,0
119613,2024-05-18,23,51117.0,5.0,12643.0,6,4229.0,0.1033,49.0,1,0,Sud,agence,a_jour,0
118339,2023-08-10,46,54231.0,11.1,14955.0,72,14230.0,0.2854,231.0,2,0,Nord,agence,a_jour,0
105684,2024-02-02,39,45205.0,3.3,6056.0,6,22173.0,0.5017,172.0,4,0,Nord,mobile,a_jour,0
105649,2024-12-16,36,66337.0,2.5,5325.0,60,15509.0,0.2405,148.0,0,1,Centre,web,a_jour,0
118436,2023-01-12,67,71624.0,3.6,16968.0,24,2641.0,0.0566,280.0,6,1,Centre,web,a_jour,0
100307,2024-02-09,58,25133.0,6.2,6233.0,60,6963.0,0.2977,149.0,1,1,Ouest,mobile,a_jour,0
108049,2024-08-04,32,41856.0,14.0,20983.0,36,962.0,0.0648,54.0,3,0,Ouest,agence,a_jour,0
103600,2023-11-22,18,46951.0,1.0,7391.0,36,15878.0,0.3513,0.0,0,0,Nord,mobile,a_jour,0
109275,2024-05-18,28,43404.0,2.9,12462.0,24,7137.0,0.1884,25.0,0,3,Centre,mobile,a_jour,0
100565,2023-06-22,41,35818.0,4.4,23999.0,12,6915.0,0.2489,241.0,6,0,Centre,mobile,a_jour,0
112167,2023-03-02,52,39617.0,0.4,11630.0,36,7110.0,0.2039,191.0,2,1,Nord,agence,a_jour,0
108192,2023-06-06,41,47443.0,4.0,14237.0,24,12342.0,0.2852,94.0,0,0,Sud,web,a_jour,0
107377,2024-03-25,37,53266.0,11.4,7721.0,18,14312.0,0.2808,86.0,1,0,Sud,web,a_jour,0
109556,2024-07-04,51,45295.0,5.8,15674.0,36,21830.0,0.5108,105.0,1,0,Sud,web,a_jour,0
105821,2024-05-29,23,28004.0,1.1,7579.0,12,2639.0,0.1168,53.0,1,0,Est,web,a_jour,0
117343,2023-09-13,60,121233.0,0.6,4944.0,24,21167.0,0.178,128.0,0,0,Nord,web,a_jour,0
106882,2024-07-09,51,49030.0,3.5,11716.0,24,7029.0,0.1633,209.0,2,1,Sud,web,a_jour,0
118991,2023-04-28,27,123932.0,8.0,22772.0,24,6572.0,0.0683,45.0,0,0,Nord,mobile,a_jour,0
100193,2023-09-22,46,16546.0,2.6,12180.0,12,9178.0,0.616,118.0,3,2,Sud,mobile,recouvrement_contentieux,1
119470,2024-04-09,36,54795.0,4.4,12070.0,24,13584.0,0.2663,78.0,1,0,Ouest,mobile,a_jour,0
113920,2023-08-01,58,63048.0,0.6,27122.0,18,27081.0,0.4654,393.0,3,0,Nord,web,a_jour,0
108208,2023-08-17,43,36039.0,5.3,10427.0,24,23873.0,0.6865,115.0,1,1,Centre,courtier,a_jour,0
112566,2023-12-02,22,53340.0,4.0,17420.0,12,4438.0,0.1104,33.0,0,0,Est,agence,a_jour,0
104038,2023-08-12,33,35667.0,0.8,24723.0,12,27015.0,0.8152,109.0,0,1,Est,mobile,a_jour,0
117580,2024-08-09,58,12000.0,1.3,20664.0,36,4279.0,0.5001,184.0,5,1,Nord,agence,a_jour,0
114451,2023-03-18,34,45800.0,1.7,18535.0,36,14498.0,0.3503,82.0,1,1,Ouest,mobile,a_jour,0
114802,2023-09-17,29,45015.0,3.4,10591.0,6,14107.0,0.333,121.0,3,1,Nord,web,a_jour,0
103652,2023-10-27,25,44403.0,7.0,10599.0,18,15885.0,0.3776,20.0,0,1,Centre,agence,a_jour,0
100190,2024-05-14,20,82494.0,2.0,20049.0,12,5390.0,0.0856,19.0,1,0,Sud,agence,a_jour,0
103100,2023-09-24,22,87930.0,1.1,28769.0,18,12748.0,0.1722,43.0,1,1,Est,web,a_jour,0
110431,2023-11-24,53,59440.0,9.5,13070.0,6,17782.0,0.3175,364.0,2,1,Centre,mobile,recouvrement_amiable,1
119222,2023-06-23,38,44323.0,1.9,5598.0,60,5604.0,0.137,138.0,2,0,Ouest,web,a_jour,0
119229,2023-02-07,56,20843.0,3.7,15396.0,24,6592.0,0.3778,235.0,2,0,Est,web,a_jour,0
114369,2023-02-19,42,33089.0,3.5,18446.0,48,13662.0,0.4593,74.0,1,1,Ouest,agence,a_jour,0
118463,2024-08-01,37,38878.0,19.0,13457.0,24,5595.0,0.1728,188.0,0,1,Est,agence,a_jour,0
110715,2023-11-01,43,36325.0,10.8,40312.0,72,3957.0,0.2014,118.0,0,1,Ouest,mobile,a_jour,0
111951,2023-06-11,31,17988.0,5.4,19792.0,24,6179.0,0.4352,76.0,1,0,Nord,web,a_jour,0
110783,2023-10-11,61,39130.0,5.7,13442.0,36,3927.0,0.129,357.0,6,0,Ouest,web,a_jour,0
103120,2024-03-31,60,36656.0,4.9,7433.0,36,10682.0,0.3083,439.0,4,0,Nord,agence,a_jour,0
106509,2023-01-28,21,42482.0,3.0,16983.0,36,5367.0,0.1596,30.0,0,0,Sud,agence,a_jour,0
102986,2024-06-29,32,39029.0,3.4,7153.0,36,3313.0,0.1002,90.0,1,2,Nord,web,a_jour,0
103520,2024-08-25,48,34380.0,0.8,15414.0,18,8415.0,0.2821,207.0,3,1,Ouest,web,a_jour,0
111883,2024-03-09,26,26165.0,6.3,14657.0,12,1217.0,0.0932,37.0,1,1,Est,mobile,recouvrement_amiable,0
114057,2024-03-22,75,59961.0,3.9,16753.0,18,22101.0,0.3919,474.0,5,2,Est,web,a_jour,0
107153,2024-08-21,36,63586.0,3.8,8499.0,60,12713.0,0.2111,205.0,4,0,Centre,mobile,a_jour,0
100202,2023-12-28,51,48233.0,3.8,18093.0,12,23323.0,0.5148,292.0,4,0,Sud,agence,a_jour,0
101608,2023-06-22,49,31049.0,3.5,17808.0,36,2157.0,0.1173,338.0,6,0,Nord,courtier,a_jour,0
102805,2024-12-08,36,35858.0,6.0,10817.0,36,2283.0,0.0888,,1,0,Ouest,web,a_jour,0
112997,2023-10-01,28,44449.0,8.3,14475.0,36,8597.0,0.2206,80.0,0,0,Sud,mobile,a_jour,0
112562,2024-05-23,49,40910.0,8.0,11509.0,48,2452.0,0.0834,243.0,3,0,Est,mobile,a_jour,0
100826,2024-05-11,30,40816.0,4.1,12783.0,60,3673.0,0.1161,63.0,0,0,Centre,courtier,a_jour,0
119985,2023-09-27,29,20883.0,4.8,4813.0,12,353.0,0.0361,36.0,0,0,Centre,mobile,a_jour,0
109802,2024-04-06,43,53298.0,6.7,20530.0,24,22114.0,0.447,112.0,2,1,Est,agence,a_jour,0
112584,2024-09-17,39,36802.0,4.6,18341.0,36,1108.0,0.0716,97.0,2,0,Ouest,courtier,a_jour,0
112159,2024-09-16,38,37007.0,5.7,20589.0,36,459.0,0.0588,61.0,3,0,Ouest,mobile,a_jour,0
102177,2023-12-17,56,62771.0,3.5,11863.0,18,27630.0,0.4559,104.0,1,1,Nord,web,recouvrement_amiable,1
115406,2024-11-05,47,40893.0,2.6,44340.0,24,17558.0,0.5197,94.0,1,0,Sud,agence,a_jour,0
115185,2024-08-22,45,107769.0,19.5,23238.0,36,9042.0,0.1019,152.0,2,1,Est,agence,a_jour,0
114747,2024-08-23,43,30679.0,2.1,17999.0,36,5813.0,0.2384,72.0,2,0,Centre,web,a_jour,0
108777,2024-06-09,35,35890.0,3.1,17463.0,60,4005.0,0.1521,184.0,1,0,Nord,web,a_jour,0
113574,2024-04-12,22,26265.0,4.0,9942.0,36,1916.0,0.1045,35.0,0,1,,web,recouvrement_amiable,1
110365,2023-01-03,53,29380.0,,33257.0,60,8615.0,0.3876,318.0,1,0,Sud,agence,a_jour,0
112508,2023-08-04,38,42916.0,3.6,36969.0,24,14445.0,0.4084,103.0,1,0,Sud,agence,a_jour,0
114753,2023-02-27,35,49828.0,6.7,23700.0,18,7947.0,0.1991,77.0,2,0,Nord,web,a_jour,0
